Search Parameters;Year;Mo;Dy;Hr;Mn;Sec;Tsunami Event Validity;Tsunami Cause Code;Earthquake Magnitude;Vol;More Info;Deposits;Country;Location Name;Latitude;Longitude;Maximum Water Height (m);Number of Runups;Tsunami Magnitude (Abe);Tsunami Magnitude (Iida);Tsunami Intensity;Deaths;Death Description;Missing;Missing Description;Injuries;Injuries Description;Damage ($Mil);Damage Description;Houses Destroyed;Houses Destroyed Description;Houses Damaged;Houses Damaged Description;Total Deaths;Total Death Description;Total Missing;Total Missing Description;Total Injuries;Total Injuries Description;Total Damage ($Mil);Total Damage Description;Total Houses Destroyed;Total Houses Destroyed Description;Total Houses Damaged;Total Houses Damaged Description
;2006;7;17;8;19;26;4;1;7.7;;;4;INDONESIA;SOUTH OF JAVA;-9.284;107.419;20.9;211;8.1;;;802;3;;;498;3;55;4;1623;4;;;802;3;;;498;3;55;4;1623;4;;
;2006;9;28;6;22;9.7;4;1;6.9;;;0;SAMOA;SAMOA ISLANDS;-16.592;-172.033;0.08;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2006;10;15;17;7;49.2;4;1;6.7;;;0;USA;HAWAII;19.878;-155.935;0.1;1;;;;;;;;;;;;;;;;;;;;;3;150;4;;;;
;2006;10;23;21;17;19;4;1;6.4;;;0;JAPAN;IZU ISLANDS, JAPAN;29.351;140.27;0.16;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2006;11;13;8;2;44.4;4;1;5.2;;;0;TAIWAN;SOUTH CHINA SEA;20.656;119.997;0.15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2006;11;15;11;14;13.5;4;1;8.3;;;3;RUSSIA;S. KURIL ISLANDS;46.592;153.266;21.9;261;;;;;;;;1;1;;2;;;;;;;;;1;1;;2;;;;
;2006;12;26;12;26;21.4;4;1;7;;;0;TAIWAN;TAIWAN;21.799;120.547;0.12;7;;;;;;;;;;;;;;;;2;1;;;40;1;;1;;2;;
;2007;1;13;4;23;21.1;4;1;8.1;;;1;RUSSIA;S. KURIL ISLANDS;46.243;154.524;0.4;47;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2007;3;25;0;40;1.6;4;1;7.1;;;0;VANUATU;VANUATU ISLANDS;-20.617;169.357;0.08;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2007;3;25;0;41;57.8;4;1;6.7;;;0;JAPAN;HONSHU: W COAST;37.336;136.588;0.1;6;;;;;;;;;;;;;;;;1;1;;;359;3;;3;13556;4;;
;2007;4;1;20;39;56.3;4;1;8.1;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-8.46;157.044;12.1;247;;;;50;1;;;;;;3;2500;4;;;52;2;;;;;;3;2500;4;500;3
;2007;4;21;17;53;46.3;4;3;6.2;;;0;CHILE;SOUTHERN CHILE;-45.285;-72.606;50;7;;;;8;1;;;;;;1;;;;;10;1;;;;;;1;;;2;1
;2007;7;16;1;13;22;4;1;6.6;;;0;JAPAN;HONSHU: W COAST;37.57;138.478;;1;;;;;;;;;;;;;;;;9;1;;;1088;4;;3;875;3;;
;2007;8;2;2;37;42.3;4;1;6.2;;;0;RUSSIA;TATAR STRAIT;47.116;141.798;3.2;18;;;;;;;;;;;;;;;;2;1;;;14;1;347.7;4;11;1;20;1
;2007;8;2;3;21;42.8;4;1;6.7;;;0;USA;ALEUTIAN ISLANDS, AK;51.307;-179.971;0.03;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2007;8;15;23;40;57.8;4;1;8;;;0;PERU;S. PERU;-13.386;-76.603;10.05;141;;;;3;1;;;;;;1;;1;;;596;3;;;1292;4;600;4;93708;4;45813;4
;2007;9;2;1;5;18.1;4;1;7.2;;;0;SOLOMON ISLANDS;SANTA CRUZ ISLANDS;-11.61;165.762;0.05;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2007;9;12;11;10;26.8;4;1;8.4;;;0;INDONESIA;SUMATRA;-4.438;101.367;5;56;;;;;;;;;;;1;;;;2;25;1;;;161;3;;3;56425;4;;
;2007;9;30;5;23;34;4;1;7.4;;;0;NEW ZEALAND;AUCKLAND ISLANDS;-49.418;163.954;0.35;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2007;11;14;15;40;50.5;4;1;7.7;;;0;CHILE;NORTHERN CHILE;-22.247;-69.89;0.28;7;;;;;;;;;;;;;;;;2;1;;;65;2;;3;;4;;
;2007;12;4;;;;4;8;;;;0;CANADA;CHEHALIS LAKE, CHILLIWACK;49.467;-122.01;38;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
;2007;12;9;7;28;20.8;4;1;7.8;;;0;KERMADEC ISLANDS;KERMADEC ISLANDS;-25.996;-177.514;0.03;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;2;25;8;36;33;4;1;6.5;;;0;INDONESIA;SUMATRA;-2.486;99.972;0.12;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;2
;2008;4;9;12;46;12.7;4;1;7.3;;;0;NEW CALEDONIA;LOYALTY ISLANDS;-20.071;168.892;0.16;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;6;13;23;43;45.3;4;3;6.9;;;0;JAPAN;ARATOZAWA, JAPAN;39.03;140.881;2.5;0;;;;;;;;;;;;;;;;23;1;;;357;3;;3;;;614;3
;2008;7;19;2;39;28.7;4;1;6.9;;;0;JAPAN;OFF EAST COAST OF HONSHU ISLAND;37.552;142.214;0.2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;8;8;;;;4;6;;4924;;0;USA;KASATOCHI VOLCANO, ALEUTIAN IS, AK;52.18;-175.5;0.19;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;9;11;0;20;50.9;4;1;6.8;;;0;JAPAN;HOKKAIDO ISLAND;41.892;143.754;0.09;1;;;;;;;;;;;;;;;;6;1;;;77;2;;3;;;1000;3
;2008;11;16;17;2;32.7;4;1;7.3;;;0;INDONESIA;SULAWESI;1.271;122.091;0.13;3;;;;;;;;;;;;;;;;6;1;;;77;2;;3;;;1000;3
;2009;1;3;19;43;50.6;4;1;7.6;;;0;INDONESIA;NEAR NORTH COAST;-0.414;132.885;0.39;24;;;;;;;;;;;;;;;;5;1;;;250;3;;3;;;840;3
;2009;1;15;17;49;39;4;1;7.4;;;0;RUSSIA;KAMCHATKA;46.857;155.154;0.11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2009;2;11;17;34;50.8;4;1;7.2;;;0;INDONESIA;CELEBES SEA;3.884;126.397;0.13;1;;;;;;;;;;;;;;;;;;;;64;2;;2;;;597;3
;2009;2;24;;;;4;9;;;;0;EAST CHINA SEA;E. CHINA SEA-S.JAPAN;;;1.45;6;;;;;;;;;;;2;;;;;;;;;;;;2;;;;
;2009;3;19;18;17;40.9;4;1;7.6;;;0;TONGA;TONGA;-23.046;-174.659;0.15;27;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2009;5;28;8;24;45;4;1;7.3;;;0;HONDURAS;OFF COAST OF HONDURAS;16.72;-86.236;4;3;;;;;;;;;;;;;;;;7;1;;;40;1;100;4;135;3;1000;4
;2009;7;1;9;30;10.4;4;1;6.4;;;0;GREECE;CRETE;34.164;25.471;0.3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2009;7;15;9;22;29;4;1;7.8;;;1;NEW ZEALAND;OFF WEST COAST OF SOUTH ISLAND;-45.762;166.562;0.47;10;;;;;;;;;;;;;;;;;;;;;;;1;;;;
;2009;8;10;20;7;9.1;4;1;6.4;;;0;JAPAN;HONSHU: S COAST;34.743;138.264;0.6;5;;;;;;;;;;;;;;;;1;1;;;123;3;;3;5192;4;;
;2009;8;16;7;38;21.7;4;1;6.7;;;0;INDONESIA;SUMATRA;-1.479;99.49;0.18;1;;;;;;;;;;;;;;;;;;;;9;1;;;;;;
;2009;9;2;7;55;1;4;1;7;;;0;INDONESIA;JAVA SEA;-7.782;107.297;0.4;2;;;;;;;;;;;;;;;;81;2;;;1297;4;;3;;;54000;4
;2009;9;29;17;48;10.9;4;1;8.1;;;9;SAMOA;SAMOA ISLANDS;-15.489;-172.095;22.35;618;;;;192;3;;;7;1;285;4;;;;;192;3;;;7;1;285;4;;;;
;2009;9;30;10;16;9.2;4;1;7.5;;;0;INDONESIA;SUMATRA;-0.72;99.867;0.27;1;;;;;;;;;;;;;;;;1117;4;;;1214;4;2200;4;;3;181665;4
;2009;10;7;22;3;14.4;4;1;7.6;;;0;VANUATU;VANUATU ISLANDS;-13.006;166.51;0.29;37;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2009;11;11;;;;4;9;;;;0;AUSTRALIA;SOUTHWEST AUSTRALIA;;;0.48;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;1;3;21;48;5.3;4;1;6.6;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-8.743;157.477;0.01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;1;3;22;36;27.9;4;1;7.1;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-8.799;157.346;7.52;51;;;;;;;;;;;1;;1;;;;;;;;;;1;16;1;60;2
;2010;1;5;12;15;32.2;4;1;6.8;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-9.019;157.551;0.03;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;1;12;21;53;10;4;3;7;;;0;HAITI;HAITI & DOMINICAN REPUBLIC;18.457;-72.533;3.21;25;;;;7;1;;;;;;1;;1;;;316000;4;;;300000;4;8000;4;97294;4;188383;4
;2010;2;27;6;34;11.5;4;1;8.8;;;4;CHILE;CENTRAL CHILE;-36.122;-72.898;29;684;;;;156;3;;;12000;4;30000;4;;;;;558;3;;;12000;4;30000;4;;;500000;4
;2010;3;11;14;39;43.9;4;1;6.9;;;0;CHILE;CENTRAL CHILE;-34.29;-71.891;0.14;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;
;2010;3;22;;;;4;9;;;;0;AUSTRALIA;SOUTHWEST AUSTRALIA;;;0.28;3;;;;;;;;;;;;;;;;;;;;;;1080;4;;;;
;2010;4;6;22;15;1.5;4;1;7.8;;;0;INDONESIA;SUMATRA;2.383;97.048;0.44;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;5;29;11;46;50;4;6;;5184;;0;USA TERRITORY;SOUTH OF SARIGAN IS, N. MARIANA IS;16.708;145.97;0.04;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;6;12;19;26;50.4;4;1;7.5;;;0;INDIA;LITTLE NICOBAR ISLAND;7.881;91.936;0.03;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;8;10;5;23;44.9;4;1;7.2;;;0;VANUATU;VANUATU ISLANDS;-17.541;168.069;0.23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;8;13;21;19;33;4;1;6.9;;;0;USA TERRITORY;GUAM, MARIANA ISLANDS;12.484;141.476;0.07;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;10;25;14;42;22;4;1;7.8;;;0;INDONESIA;SUMATRA;-3.487;100.082;16.9;358;;;;431;3;;;;;39;4;700;3;;;431;3;;;;;39;4;700;3;;
;2010;12;21;17;19;40.6;4;1;7.4;;;0;JAPAN;BONIN ISLANDS;26.901;143.698;0.13;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;12;25;13;16;37;4;1;7.3;;;0;VANUATU;VANUATU ISLANDS;-19.702;167.947;4.1;12;;;;;;;;4;1;;1;;;;;;;;;4;1;;1;;;;
;2011;1;9;10;3;44.2;4;1;6.5;;;0;VANUATU;VANUATU ISLANDS;-19.157;168.311;0.03;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;2;11;20;5;30.7;4;1;6.8;;;0;CHILE;CENTRAL CHILE;-36.474;-73.125;0.15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;2;17;;;;4;8;;;;0;NORWAY;SVALBARD;78.37;16.62;0.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;3;9;2;45;20;4;1;7.3;;;0;JAPAN;HONSHU ISLAND;38.435;142.842;0.6;24;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;3;9;21;24;1;4;1;6.3;;;0;JAPAN;OFF SANRIKU;38.296;142.808;0.06;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;3;11;5;46;24.1;4;1;9.1;;;9;JAPAN;HONSHU ISLAND;38.297;142.373;39.26;6421;;;;18428;4;;;6167;4;220136.6;4;123661;4;280920;4;18428;4;;;6167;4;220136.6;4;123661;4;280920;4
;2011;4;7;14;32;43.2;4;1;7.1;;;0;JAPAN;E. COAST HONSHU ISLAND;38.276;141.588;0.08;1;;;;;;;;;;;;;;;;3;1;;;132;3;;1;;;;
;2011;5;10;8;55;9;4;1;6.8;;;0;NEW CALEDONIA;LOYALTY ISLANDS;-20.244;168.226;0.03;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;6;24;3;9;39.4;4;1;7.3;;;0;USA;ATKA, ALEUTIAN ISLANDS, AK;52.05;-171.836;0.1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;7;6;19;3;18.2;4;1;7.6;;;0;NEW ZEALAND;KERMADEC ISLANDS;-29.539;-176.34;1.2;24;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;7;10;0;57;10.8;4;1;7;;;0;JAPAN;OFF EAST COAST OF HONSHU ISLAND;38.034;143.264;0.09;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;8;20;16;55;2.5;4;1;7.1;;;0;VANUATU;VANUATU ISLANDS;-18.365;168.143;0.19;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;8;20;18;19;23.5;4;1;7;;;0;VANUATU;VANUATU ISLANDS;-18.311;168.218;0.15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;9;2;10;55;53.5;4;1;6.8;;;0;USA;FOX ISLANDS, ALEUTIAN ISLANDS, AK;52.171;-171.708;0.06;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011;10;21;17;57;16.1;4;1;7.4;;;0;NEW ZEALAND;KERMADEC ISLANDS;-28.993;-176.238;0.14;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;2;2;13;34;40.6;4;1;7;;;0;VANUATU;VANUATU ISLANDS;-17.827;167.133;0.08;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;2;6;3;49;12.5;4;1;6.7;;;0;PHILIPPINES;TANON STRAIT;9.999;123.206;5;32;;;;;;;;;;;;4;1;;;51;2;62;2;112;3;9;3;15000;4;;
;2012;3;9;7;9;50.9;4;1;6.7;;;0;VANUATU;OFF EAST COAST OF VANUATU;-19.125;169.613;0.05;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;3;14;9;8;35.1;4;1;6.9;;;0;JAPAN;HOKKAIDO ISLAND;40.887;144.944;0.2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;3;20;18;2;47.4;4;1;7.4;;;0;MEXICO;S. MEXICO;16.493;-98.231;0.2;2;;;;;;;;;;;;;;;;2;1;;;13;1;600;4;800;3;;
;2012;4;11;8;38;36.7;4;1;8.6;;;0;INDONESIA;OFF W. COAST OF N SUMATRA;2.327;93.063;1.08;25;;;;;;;;;;;;;;;;10;1;;;12;1;;1;;;;2
;2012;4;11;10;43;10.8;4;1;8.2;;;0;INDONESIA;OFF W. COAST OF N SUMATRA;0.802;92.463;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;4;14;22;5;26.4;4;1;6.3;;;0;VANUATU;VANUATU ISLANDS;-18.972;168.741;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;6;10;;;;4;9;;;;0;AUSTRALIA;SOUTHWEST AUSTRALIA;;;0.55;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;7;15;;;;4;8;;;;0;GREENLAND;ILULISSAT ICEFJORD, GREENLAND;69.2;-51.3;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;8;27;4;37;19.4;4;1;7.3;;;0;EL SALVADOR;EL SALVADOR-NICARAGUA;12.139;-88.59;6.3;40;;;;;;;;40;1;;1;;;;;;;;;40;1;;1;;;;
;2012;8;31;12;47;33.3;4;1;7.6;;;0;PHILIPPINES;PHILIPPINE ISLANDS;10.811;126.638;0.15;18;;;;;;;;;;;;;;;;1;1;;;1;1;0.3;1;;1;;
;2012;9;5;14;42;7.8;4;1;7.6;;;0;COSTA RICA;COSTA RICA;10.085;-85.315;0.16;5;;;;;;;;;;;;;;;;2;1;;;20;1;45;4;;2;;
;2012;10;28;3;4;8.8;4;1;7.7;;;0;CANADA;BRITISH COLUMBIA;52.788;-132.101;12.98;178;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;
;2012;11;7;16;35;46.9;4;1;7.3;;;0;GUATEMALA;GUATEMALA;13.988;-91.895;0.35;7;;;;;;;;;;;;;;;;48;2;;;155;3;210;4;2769;4;7561;4
;2012;12;7;8;18;23.1;4;1;7.2;;;0;JAPAN;OFF EAST COAST OF HONSHU ISLAND;37.89;143.949;1;3;;;;;;;;;;;;;;;;;;;;11;1;;;;;;
;2013;1;5;8;58;19.3;4;3;7.5;;;0;USA;SE. ALASKA, AK;55.393;-134.652;1.5;8;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
;2013;2;6;1;12;25.8;4;1;7.9;;;0;SOLOMON ISLANDS;SANTA CRUZ ISLANDS;-10.766;165.114;11;124;;;;10;1;;;15;1;;3;588;3;478;3;10;1;;;15;1;36;4;588;3;478;3
;2013;2;8;15;26;38.4;4;1;7;;;0;SOLOMON ISLANDS;SANTA CRUZ ISLANDS;-10.928;166.018;0.09;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2013;6;13;;;;4;9;;;;0;USA;NORTHWEST ATLANTIC OCEAN;;;1.8;38;;;;;;;;2;1;;;;;;;;;;;2;1;;;;;;
;2013;7;21;5;9;31.4;4;1;6.5;;;0;NEW ZEALAND;COOK STRAIT;-41.704;174.337;0.07;2;;;;;;;;;;;;;;;;;;;;5;1;50;4;;;35;1
;2013;8;16;2;31;5.8;4;1;6.5;;;0;NEW ZEALAND;WELLINGTON;-41.734;174.152;0.08;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;2
;2013;9;24;;;;4;3;7.7;;;0;PAKISTAN;OFF COAST GWADAR;25.18;62.26;0.57;15;;;;;;;;;;;;;;;;825;3;;;619;3;100;4;32638;4;14118;4
;2013;10;12;13;11;53.4;4;1;6.6;;;0;GREECE;CRETE;35.514;23.252;0.01;1;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;1
;2013;10;25;17;10;19.7;4;1;7.1;;;0;JAPAN;E. COAST HONSHU ISLAND;37.156;144.661;0.4;9;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
;2013;11;17;9;4;55.5;4;1;7.7;;;0;ANTARCTICA;SCOTIA SEA;-60.274;-46.401;0.15;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;1;29;15;31;;4;8;;;;0;NORWAY;STATLAND;64.495;11.153;8.2;3;;;;;;;;1;1;;3;;;;;;;;;1;1;;3;;;;
;2014;2;9;10;30;;4;9;;;;0;BRAZIL;CASSINO BEACH, RIO GRANDE DO SUL;;;1;2;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
;2014;3;16;21;16;29.6;4;1;6.7;;;0;CHILE;NORTHERN CHILE;-19.981;-70.702;0.26;7;;;;;;;;;;;;;;;;;;;;;;;1;;;;
;2014;4;1;23;46;47.3;4;1;8.2;;;0;CHILE;NORTHERN CHILE;-19.61;-70.769;4.63;201;;;;;;;;;;;1;;;;;7;1;;;;;100;4;;;2600;4
;2014;4;3;2;43;13.1;4;1;7.7;;;0;CHILE;NORTHERN CHILE;-20.571;-70.493;0.74;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;4;12;20;14;39.3;4;1;7.6;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-11.27;162.148;0.05;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;4;13;12;36;19.2;4;1;7.4;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-11.463;162.051;0.16;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;4;18;14;27;24.9;4;1;7.2;;;0;MEXICO;S. MEXICO;17.397;-100.972;0.43;3;;;;;;;;;;;;;;;;;;;;;;49.5;4;;;127;2
;2014;4;19;13;29;21;4;1;7.5;;;0;PAPUA NEW GUINEA;SOLOMON SEA;-6.755;155.024;0.11;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;5;24;9;25;2.4;4;1;6.9;;;0;GREECE;NORTH AEGEAN SEA;40.289;25.389;0.16;1;;;;;;;;;;;;;;;;3;1;;;310;3;4500;4;;1;;2
;2014;6;23;19;19;15.9;4;1;6.9;;;0;NEW ZEALAND;S OF RAOUL ISLAND, KERMADEC ISLANDS;-29.977;-177.725;0.13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;6;23;20;53;9.7;4;1;7.9;;;0;USA;ALEUTIAN ISLANDS, AK;51.849;178.735;0.17;20;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;6;23;;;;4;9;;;;0;SPAIN;MEDITERRANEAN AND BLACK SEAS;;;2.5;5;;;;;;;;15;1;;1;;;;;;;;;15;1;;1;;;;
;2014;6;27;10;37;;4;8;;;;0;UKRAINE;ODESSA;46.32;30.67;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;7;2;14;6;;4;8;;;;0;GREENLAND;ILULISSAT ICEFJORD, GREENLAND;69.8;-50.217;10;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
;2014;7;11;19;23;0.8;4;1;6.5;;;0;JAPAN;SANRIKU;37.005;142.453;0.2;6;;;;;;;;;;;;;;;;;;;;;1;;1;;;;
;2014;7;21;23;24;;4;8;;;;0;ICELAND;ASKJA LAKE;65.02;-16.7;60;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;7;25;10;54;50.4;4;1;6;;;0;USA;PALMA BAY, AK;58.335;-136.971;0.08;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;10;9;2;14;31.4;4;1;7;;;0;CHILE;EASTER ISLAND REGION;-32.108;-110.811;0.47;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2014;10;14;3;51;34.5;4;1;7.3;;;0;EL SALVADOR;GULF OF FONSECA;12.526;-88.123;0.02;2;;;;;;;;;;;;;;;;1;1;;;;;;1;5;1;41;1
;2015;2;16;23;6;28.3;4;1;6.7;;;0;JAPAN;HONSHU;39.856;142.881;0.27;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;2;19;13;18;32.8;4;1;6.4;;;0;VANUATU;VANUATU ISLANDS;-16.431;168.148;8;6;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1
;2015;3;29;23;48;31;4;1;7.5;;;0;PAPUA NEW GUINEA;BISMARCK SEA;-4.729;152.562;0.5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;5;10;;;;4;8;;;;0;NORWAY;NORTHERN NORWAY;69.8;20.92;;0;;;;;;;;;;;;;;;;;;;;;;;1;;;;
;2015;6;24;;;;4;8;;;;0;CHINA;WUSHAN, CHONGQING;31.077;109.896;6.2;1;;;;2;1;;;4;1;;2;;;;;2;1;;;4;1;;2;;;;
;2015;7;10;4;12;42.5;4;1;6.7;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-9.307;158.403;0.01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;7;18;2;27;33.8;4;1;7;;;0;SOLOMON ISLANDS;SANTA CRUZ ISLANDS;-10.401;165.141;0.09;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;7;27;4;49;46.4;4;1;6.9;;;0;USA;FOX ISLANDS, ALEUTIAN ISLANDS, AK;52.376;-169.446;0.08;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;9;16;22;54;32.9;4;1;8.3;;;1;CHILE;CENTRAL CHILE;-31.573;-71.674;13.6;1263;;8.4;;8;1;;;;;;1;;;;;15;1;1;1;14;1;600;4;2305;4;10044;4
;2015;10;18;5;19;;4;8;;;;1;USA;ICY BAY, AK;60.08;-141.3;193;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;11;11;1;54;38.6;4;1;6.9;;;0;CHILE;CENTRAL CHILE;-29.507;-72.007;0.55;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;11;13;20;51;31;4;1;6.7;;;0;JAPAN;JAPAN;31.001;128.873;0.3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2015;11;17;7;10;7.3;4;3;6.5;;;0;GREECE;IONIAN SEA;38.67;20.6;0.15;1;;;;;;;;;;;;;;;;2;1;;;8;1;;2;1;1;;2
;2015;11;18;18;31;4.6;4;1;6.8;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-8.899;158.422;0.1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;1;25;4;22;2.7;4;1;6.3;;;0;MOROCCO;MOROCCO;35.649;-3.682;0.02;2;;;;;;;;;;;;;;;;1;1;;;26;1;;1;;1;;1
;2016;3;2;12;49;48.1;4;1;7.8;;;0;INDONESIA;SW. SUMATRA;-4.952;94.33;0.21;13;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;4;16;23;58;37;4;1;7.8;;;0;ECUADOR;OFF COAST;0.382;-79.922;0.6;7;;;;;;;;;;;;;;;;663;3;9;1;6274;4;3300;4;6998;4;29672;4
;2016;8;12;1;26;36.3;4;1;7.2;;;0;NEW CALEDONIA;LOYALTY ISLANDS;-22.477;173.117;0.19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;8;20;9;1;26.2;4;1;6;;;0;JAPAN;SANRIKU;40.394;143.68;0.01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;9;1;16;37;57.3;4;1;7;;;0;NEW ZEALAND;GISBORNE;-37.359;179.146;0.21;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;11;13;11;2;56.3;4;1;7.8;;;1;NEW ZEALAND;OFF EAST COAST OF SOUTH ISLAND;-42.737;173.054;6.5;17;;;;;;;;;;;1;1;1;;;2;1;;;;2;3900;4;;1;;1
;2016;11;21;20;59;49.3;4;1;6.9;;;0;JAPAN;E. COAST HONSHU ISLAND;37.393;141.387;1.44;44;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;
;2016;11;24;18;43;47.7;4;1;6.9;;;0;NICARAGUA;NICARAGUA;11.91;-88.897;0.08;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;12;8;17;38;46.3;4;1;7.8;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-10.681;161.327;0.43;13;;;;;;;;;;;;;;;;1;1;;;;;;1;191;3;126;3
;2016;12;9;19;10;6.8;4;1;6.9;;;0;SOLOMON ISLANDS;SOLOMON ISLANDS;-10.749;161.132;0.05;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;12;17;10;51;10.5;4;1;7.9;;;0;PAPUA NEW GUINEA;SOLOMON SEA;-4.505;153.522;0.08;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;12;25;14;22;27;4;1;7.6;;;0;CHILE;SOUTHERN CHILE;-43.406;-73.941;0.44;4;;;;;;;;;;;;;;;;;;;;;;;1;;;;
;2017;1;3;21;52;30.7;4;1;6.9;;;0;FIJI;FIJI ISLANDS;-19.373;176.052;0.07;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
